"64428736 "	" Alligator's Sword "	" Ящер-Мечник "	"  Normal Monster "	"  Beast "	" Зверь "	" ey, dis mighty lissard man can swing his sword so fast, dat it's more dan da speed a sound! "	"Эй, этот могущественный ящер-человек может махать своим мечом настолько быстро, что его скорость превосходит скорость звука!"
"64428736 "	" Alligator's Sword "	" Ящер-Мечник "	"  Normal Monster "	"  Beast "	" Зверь "	" ey, dis mighty lissard man can swing his sword so fast, dat it's more dan da speed a sound! "	"Эй, этот могущественный ящер-человек может махать своим мечом настолько быстро, что его скорость превосходит скорость звука!"
"3366982 "	" Alligator's Sword Dragon "	"Ящер Верхом на Драконе"	"  Fusion Monster "	"  Dragon "	" Дракон "	" ""Baby Dragon"" + ""Alligator's Sword""^This card can attack your opponent directly if the only face-up monsters they control are EARTH, WATER, or FIRE. "	"«Молодой Дракон» + «Ящер-Мечник»^Эта карта может нападать на вашего оппонента напрямую, если единственные открытые монстры, которых он контролирует, являются монстрами атрибута Земли, Воды или Огня."
"48305365 "	" Axe Raider "	"Мародёр с Секирой"	"  Normal Monster "	"  Warrior "	" Воин "	" An axe-wielding monster of tremendous strength and agility. "	" Орудующий секирой воин с огромной силой и ловкостью."
"48305365 "	" Axe Raider "	"Мародёр с Секирой"	"  Normal Monster "	"  Warrior "	" Воин "	" An axe-wielding monster of tremendous strength and agility. "	" Орудующий секирой воин с огромной силой и ловкостью."
"88819587 "	" Baby Dragon "	" Молодой Дракон "	"  Normal Monster "	"  Dragon "	" Дракон "	" Much more than just a child, this dragon is gifted with untapped power. "	"Этот дракон - не просто ребенок, в нем скрыт огромный потенциал силы."
"88819587 "	" Baby Dragon "	" Молодой Дракон "	"  Normal Monster "	"  Dragon "	" Дракон "	" Much more than just a child, this dragon is gifted with untapped power. "	"Этот дракон - не просто ребенок, в нем скрыт огромный потенциал силы."
"36280194 "	" Backup Soldier "	"Резервный отряд"	"  Trap Card "	"  Normal "	" Нормальный "	" While there are 5 or more monsters in your Graveyard: Target up to 3 non-Effect Monsters with 1500 or less ATK in your Graveyard; add them to your hand. "	" Если в вашем кладбище 5 или более монстров: выберите целью до 3 монстров без эффектов с АТК 1500 или меньше на вашем кладбище; добавьте их в свою руку."
"40133511 "	" Bazoo the Soul-Eater "	" Базу Пожиратель Душ "	"  Effect Monster "	"  Beast "	" Зверь "	" Once per turn: You can banish up to 3 monsters from your Graveyard; this card gains 300 ATK for each, until the end of your opponent's turn. "	" Один раз за ход: вы можете изгнать до 3 монстров со своего кладбища; эта карта получает 300 АТК за каждую до конца хода вашего оппонента."
"78193831 "	" Buster Blader "	"Непобедимый Мечник"	"  Effect Monster "	"  Warrior "	" Воин "	" Gains 500 ATK for each Dragon monster your opponent controls or is in their GY. "	"Увеличивает ATK на 500 за каждого Дракона, которого контролирует ваш противник или который находится в его кладбище."
"97077563 "	" Call of the Haunted "	"Зов Мертвецов"	"  Trap Card "	"  Continuous "	" Непрерывный "	" Activate this card by targeting 1 monster in your GY; Special Summon that target in Attack Position. When this card leaves the field, destroy that monster. When that monster is destroyed, destroy this card. "	"Активируйте эту карту, выбрав 1 монстра в вашем кладбище; специально призовите выбранную цель в атакующей позиции. Когда эта карта покидает поле, уничтожьте монстра. Когда этот монстр разрушается, уничтожьте эту карту."
